Method,Fold,Dialect,,H,N,accuracy,macro avg,weighted avg
bert,fold_7,PT-BR,f1-score,"0,6501766784452297","0,6721854304635762","0,6615384615384615","0,661181054454403","0,66112462175692"
bert,fold_7,PT-BR,support,"294,0","291,0","0,6615384615384615","585,0","585,0"
bert,fold_7,PT-PT,precision,"0,52","0,5584415584415584","0,5433070866141733","0,5392207792207793","0,5402801922486962"
bert,fold_7,PT-PT,recall,"0,43333333333333335","0,6417910447761194","0,5433070866141733","0,5375621890547264","0,5433070866141733"
bert,fold_7,PT-PT,f1-score,"0,4727272727272728","0,5972222222222222","0,5433070866141733","0,5349747474747475","0,5384057106498052"
bert,fold_7,PT-PT,support,"60,0","67,0","0,5433070866141733","127,0","127,0"
bert,fold_8,PT-BR,precision,"0,6632996632996633","0,6845878136200717","0,6736111111111112","0,6739437384598674","0,6740546142427863"
bert,fold_8,PT-BR,recall,"0,6912280701754386","0,6563573883161512","0,6736111111111112","0,6737927292457949","0,6736111111111112"
bert,fold_8,PT-BR,f1-score,"0,6769759450171821","0,6701754385964912","0,6736111111111112","0,6735756918068366","0,6735402725025623"
bert,fold_8,PT-BR,support,"285,0","291,0","0,6736111111111112","576,0","576,0"
bert,fold_8,PT-PT,precision,"0,5471698113207547","0,4880952380952381","0,5109489051094891","0,5176325247079964","0,5191417291334658"
bert,fold_8,PT-PT,recall,"0,4027777777777778","0,6307692307692307","0,5109489051094891","0,5167735042735042","0,5109489051094891"
bert,fold_8,PT-PT,f1-score,"0,46399999999999997","0,5503355704697985","0,5109489051094891","0,5071677852348992","0,504962131974722"
bert,fold_8,PT-PT,support,"72,0","65,0","0,5109489051094891","137,0","137,0"
bert,fold_9,PT-BR,precision,"0,6747967479674797","0,6441717791411042","0,6573426573426573","0,6594842635542919","0,6592701029331285"
bert,fold_9,PT-BR,recall,"0,5886524822695035","0,7241379310344828","0,6573426573426573","0,6563952066519931","0,6573426573426573"
bert,fold_9,PT-BR,f1-score,"0,6287878787878787","0,6818181818181818","0,6573426573426573","0,6553030303030303","0,6556738715829624"
bert,fold_9,PT-BR,support,"282,0","290,0","0,6573426573426573","572,0","572,0"
bert,fold_9,PT-PT,precision,"0,5967741935483871","0,5512820512820513","0,5714285714285714","0,5740281224152193","0,5746780101618811"
bert,fold_9,PT-PT,recall,"0,5138888888888888","0,6323529411764706","0,5714285714285714","0,5731209150326797","0,5714285714285714"
bert,fold_9,PT-PT,f1-score,"0,5522388059701493","0,589041095890411","0,5714285714285714","0,5706399509302802","0,5701142039314192"
bert,fold_9,PT-PT,support,"72,0","68,0","0,5714285714285714","140,0","140,0"
content_features,fold_0,PT-BR,precision,"0,1872791519434629","0,19063545150501673","0,18900343642611683","0,1889573017242398","0,1889342343733013"
content_features,fold_0,PT-BR,recall,"0,17966101694915254","0,1986062717770035","0,18900343642611683","0,189133644363078","0,18900343642611683"
content_features,fold_0,PT-BR,f1-score,"0,18339100346020762","0,19453924914675771","0,18900343642611683","0,18896512630348267","0,1888885060582143"
content_features,fold_0,PT-BR,support,"295,0","287,0","0,18900343642611683","582,0","582,0"
content_features,fold_0,PT-PT,precision,"0,16","0,15789473684210525","0,1590909090909091","0,15894736842105261","0,1588516746411483"
content_features,fold_0,PT-PT,recall,"0,2","0,125","0,1590909090909091","0,1625","0,1590909090909091"
content_features,fold_0,PT-PT,f1-score,"0,17777777777777778","0,13953488372093023","0,1590909090909091","0,158656330749354","0,15691801738313368"
content_features,fold_0,PT-PT,support,"60,0","72,0","0,1590909090909091","132,0","132,0"
content_features,fold_1,PT-BR,precision,"0,18213058419243985","0,19727891156462585","0,18974358974358974","0,18970474787853286","0,1897953788969989"
content_features,fold_1,PT-BR,recall,"0,18339100346020762","0,19594594594594594","0,18974358974358974","0,1896684747030768","0,18974358974358974"
content_features,fold_1,PT-BR,f1-score,"0,18275862068965518","0,19661016949152543","0,18974358974358974","0,18968439509059032","0,18976726760478954"
content_features,fold_1,PT-BR,support,"289,0","296,0","0,18974358974358974","585,0","585,0"
content_features,fold_1,PT-PT,precision,"0,18181818181818182","0,140625","0,16153846153846155","0,1612215909090909","0,16185533216783216"
content_features,fold_1,PT-PT,recall,"0,1791044776119403","0,14285714285714285","0,16153846153846155","0,16098081023454158","0,16153846153846155"
content_features,fold_1,PT-PT,f1-score,"0,18045112781954883","0,14173228346456693","0,16153846153846155","0,16109170564205788","0,16168738017059606"
content_features,fold_1,PT-PT,support,"67,0","63,0","0,16153846153846155","130,0","130,0"
content_features,fold_2,PT-BR,precision,"0,16842105263157894","0,19661016949152543","0,18275862068965518","0,18251561106155217","0,18275862068965518"
content_features,fold_2,PT-BR,recall,"0,16842105263157894","0,19661016949152543","0,18275862068965518","0,18251561106155217","0,18275862068965518"
content_features,fold_2,PT-BR,f1-score,"0,16842105263157894","0,19661016949152543","0,18275862068965518","0,18251561106155217","0,18275862068965518"
content_features,fold_2,PT-BR,support,"285,0","295,0","0,18275862068965518","580,0","580,0"
content_features,fold_2,PT-PT,precision,"0,25","0,15625","0,20588235294117646","0,203125","0,20588235294117646"
content_features,fold_2,PT-PT,recall,"0,25","0,15625","0,20588235294117646","0,203125","0,20588235294117646"
content_features,fold_2,PT-PT,f1-score,"0,25","0,15625","0,20588235294117646","0,203125","0,20588235294117646"
content_features,fold_2,PT-PT,support,"72,0","64,0","0,20588235294117646","136,0","136,0"
content_features,fold_3,PT-BR,precision,"0,18811881188118812","0,15770609318996415","0,17353951890034364","0,17291245253557613","0,17296470806597344"
content_features,fold_3,PT-BR,recall,"0,1952054794520548","0,15172413793103448","0,17353951890034364","0,17346480869154463","0,17353951890034364"
content_features,fold_3,PT-BR,f1-score,"0,1915966386554622","0,15465729349736376","0,17353951890034364","0,17312696607641298","0,1731904357416331"
content_features,fold_3,PT-BR,support,"292,0","290,0","0,17353951890034364","582,0","582,0"
content_features,fold_3,PT-PT,precision,"0,15714285714285714","0,13333333333333333","0,14615384615384616","0,14523809523809522","0,14487179487179488"
content_features,fold_3,PT-PT,recall,"0,1746031746031746","0,11940298507462686","0,14615384615384616","0,14700307983890074","0,14615384615384616"
content_features,fold_3,PT-PT,f1-score,"0,16541353383458646","0,12598425196850394","0,14615384615384616","0,1456988929015452","0,14509228856514392"
content_features,fold_3,PT-PT,support,"63,0","67,0","0,14615384615384616","130,0","130,0"
content_features,fold_4,PT-BR,precision,"0,1413793103448276","0,17627118644067796","0,15897435897435896","0,15882524839275278","0,15933222437021385"
content_features,fold_4,PT-BR,recall,"0,1443661971830986","0,17275747508305647","0,15897435897435896","0,15856183613307753","0,15897435897435896"
content_features,fold_4,PT-BR,f1-score,"0,14285714285714288","0,17449664429530198","0,15897435897435896","0,15867689357622244","0,159136612827888"
content_features,fold_4,PT-BR,support,"284,0","301,0","0,15897435897435896","585,0","585,0"
content_features,fold_4,PT-PT,precision,"0,25","0,17391304347826086","0,20930232558139536","0,21195652173913043","0,21638018200202222"
content_features,fold_4,PT-PT,recall,"0,20833333333333334","0,21052631578947367","0,20930232558139536","0,20942982456140352","0,20930232558139536"
content_features,fold_4,PT-PT,f1-score,"0,22727272727272727","0,1904761904761905","0,20930232558139536","0,20887445887445888","0,21101379240914125"
content_features,fold_4,PT-PT,support,"72,0","57,0","0,20930232558139536","129,0","129,0"
content_features,fold_5,PT-BR,precision,"0,17869415807560138","0,20666666666666667","0,19289340101522842","0,19268041237113404","0,1929407318250272"
content_features,fold_5,PT-BR,recall,"0,1793103448275862","0,2059800664451827","0,19289340101522842","0,19264520563638446","0,19289340101522842"
content_features,fold_5,PT-BR,f1-score,"0,17900172117039587","0,20632279534109813","0,19289340101522842","0,192662258255747","0,19291651529117657"
content_features,fold_5,PT-BR,support,"290,0","301,0","0,19289340101522842","591,0","591,0"
content_features,fold_5,PT-PT,precision,"0,15625","0,08333333333333333","0,12096774193548387","0,11979166666666666","0,12155577956989247"
content_features,fold_5,PT-PT,recall,"0,15384615384615385","0,0847457627118644","0,12096774193548387","0,11929595827900913","0,12096774193548387"
content_features,fold_5,PT-PT,f1-score,"0,15503875968992248","0,08403361344537816","0,12096774193548387","0,11953618656765032","0,12125405300905058"
content_features,fold_5,PT-PT,support,"65,0","59,0","0,12096774193548387","124,0","124,0"
content_features,fold_6,PT-BR,precision,"0,11235955056179775","0,16307692307692306","0,14020270270270271","0,1377182368193604","0,1372042093952206"
content_features,fold_6,PT-BR,recall,"0,09933774834437085","0,18275862068965518","0,14020270270270271","0,141048184517013","0,14020270270270271"
content_features,fold_6,PT-BR,f1-score,"0,10544815465729349","0,17235772357723578","0,14020270270270271","0,13890293911726465","0,13822480159442738"
content_features,fold_6,PT-BR,support,"302,0","290,0","0,14020270270270271","592,0","592,0"
content_features,fold_6,PT-PT,precision,"0,1794871794871795","0,13333333333333333","0,16260162601626016","0,1564102564102564","0,15322076297686055"
content_features,fold_6,PT-PT,recall,"0,2641509433962264","0,08571428571428572","0,16260162601626016","0,17493261455525605","0,16260162601626016"
content_features,fold_6,PT-PT,f1-score,"0,2137404580152672","0,10434782608695652","0,16260162601626016","0,15904414205111186","0,1514844886251717"
content_features,fold_6,PT-PT,support,"53,0","70,0","0,16260162601626016","123,0","123,0"
content_features,fold_7,PT-BR,precision,"0,1881918819188192","0,22611464968152867","0,20854700854700856","0,20715326580017393","0,2070560279341157"
content_features,fold_7,PT-BR,recall,"0,17346938775510204","0,24398625429553264","0,20854700854700856","0,20872782102531734","0,20854700854700856"
content_features,fold_7,PT-BR,f1-score,"0,18053097345132743","0,2347107438016529","0,20854700854700856","0,20762085862649016","0,20748193613841243"
content_features,fold_7,PT-BR,support,"294,0","291,0","0,20854700854700856","585,0","585,0"
content_features,fold_7,PT-PT,precision,"0,22058823529411764","0,23728813559322035","0,2283464566929134","0,228938185443669","0,2293984189164789"
content_features,fold_7,PT-PT,recall,"0,25","0,208955223880597","0,2283464566929134","0,2294776119402985","0,2283464566929134"
content_features,fold_7,PT-PT,f1-score,"0,234375","0,22222222222222224","0,2283464566929134","0,2282986111111111","0,2279636920384952"
content_features,fold_7,PT-PT,support,"60,0","67,0","0,2283464566929134","127,0","127,0"
content_features,fold_8,PT-BR,precision,"0,18506493506493507","0,14925373134328357","0,1684027777777778","0,1671593332041093","0,16697281651805904"
content_features,fold_8,PT-BR,recall,"0,2","0,13745704467353953","0,1684027777777778","0,16872852233676977","0,1684027777777778"
content_features,fold_8,PT-BR,f1-score,"0,19224283305227657","0,14311270125223613","0,1684027777777778","0,16767776715225635","0,16742188104913114"
content_features,fold_8,PT-BR,support,"285,0","291,0","0,1684027777777778","576,0","576,0"
content_features,fold_8,PT-PT,precision,"0,2153846153846154","0,19444444444444445","0,20437956204379562","0,2049145299145299","0,20544949778526422"
content_features,fold_8,PT-PT,recall,"0,19444444444444445","0,2153846153846154","0,20437956204379562","0,2049145299145299","0,20437956204379562"
content_features,fold_8,PT-PT,f1-score,"0,20437956204379565","0,20437956204379565","0,20437956204379562","0,20437956204379565","0,20437956204379565"
content_features,fold_8,PT-PT,support,"72,0","65,0","0,20437956204379562","137,0","137,0"
content_features,fold_9,PT-BR,precision,"0,14982578397212543","0,16140350877192983","0,1555944055944056","0,15561464637202763","0,15569560948251576"
