Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
albertina_base,PT_PT,fold_5,precision,"0,6176470588235294","0,9285714285714286","0,6846153846153846","0,773109243697479","0,7731092436974791"
albertina_base,PT_PT,fold_5,recall,"0,9692307692307692","0,4","0,6846153846153846","0,6846153846153846","0,6846153846153846"
albertina_base,PT_PT,fold_5,f1-score,"0,7544910179640718","0,5591397849462365","0,6846153846153846","0,6568154014551542","0,6568154014551542"
albertina_base,PT_PT,fold_5,support,"65,0","65,0","0,6846153846153846","130,0","130,0"
albertina_base,PT_PT,fold_6,precision,"0,0","0,5","0,5","0,25","0,25"
albertina_base,PT_PT,fold_6,recall,"0,0","1,0","0,5","0,5","0,5"
albertina_base,PT_PT,fold_6,f1-score,"0,0","0,6666666666666666","0,5","0,3333333333333333","0,3333333333333333"
albertina_base,PT_PT,fold_6,support,"65,0","65,0","0,5","130,0","130,0"
albertina_base,PT_PT,fold_7,precision,"0,6213592233009708","0,9629629629629629","0,6923076923076923","0,7921610931319669","0,7921610931319669"
albertina_base,PT_PT,fold_7,recall,"0,9846153846153847","0,4","0,6923076923076923","0,6923076923076923","0,6923076923076923"
albertina_base,PT_PT,fold_7,f1-score,"0,7619047619047619","0,5652173913043479","0,6923076923076923","0,6635610766045549","0,663561076604555"
albertina_base,PT_PT,fold_7,support,"65,0","65,0","0,6923076923076923","130,0","130,0"
albertina_base,PT_PT,fold_8,precision,"0,6086956521739131","0,7631578947368421","0,6538461538461539","0,6859267734553776","0,6859267734553776"
albertina_base,PT_PT,fold_8,recall,"0,8615384615384616","0,4461538461538462","0,6538461538461539","0,6538461538461539","0,6538461538461539"
albertina_base,PT_PT,fold_8,f1-score,"0,713375796178344","0,5631067961165048","0,6538461538461539","0,6382412961474244","0,6382412961474244"
albertina_base,PT_PT,fold_8,support,"65,0","65,0","0,6538461538461539","130,0","130,0"
albertina_base,PT_PT,fold_9,precision,"0,5568181818181818","0,6190476190476191","0,5769230769230769","0,5879329004329004","0,5879329004329004"
albertina_base,PT_PT,fold_9,recall,"0,7538461538461538","0,4","0,5769230769230769","0,5769230769230769","0,5769230769230769"
